,N,sx,sy,sz,sx_err_stat,sy_err_stat,sz_err_stat,sx_err_sm,sy_err_sm,sz_err_sm,sx_err_tot,sy_err_tot,sz_err_tot,M,Mxder,Myder,Mzder,Meder,M_err_no_Ebeam,M_err_due_to_Ebeam,M_err_with_Ebeam,varN,varN_top_no_Ebeam,varN_bottom_no_Ebeam,varN_top_with_Ebeam,varN_bottom_with_Ebeam
20,4569023.483878909,525.8998873236955,212.3308056245202,57.93042103577376,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,6501107.198224466,11752.192821325863,23239.556802163115,112222.68165822304,718146.1876886638,1819155.101448517,718146.1876886638,1955775.8639521878,7780165.05710792,9027842.191275,7078076.06471611,9161862.61066157,7037542.374675047
21,4797474.658072854,532.607080625552,212.85490948566087,60.95709378868126,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,6936700.511763497,12395.46449595515,24750.799214407347,113796.44403341829,765917.1357510575,1879217.9546406073,765917.1357510575,2029307.5616773155,8115444.499183959,9348308.56306303,7408179.734640908,9487493.030138832,7364476.930023596
22,5025925.8322668,539.3142739274087,213.37901334680157,61.92442356129504,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,7144584.76317448,12621.731198049776,25445.608636847108,115375.87840607851,788516.4578307982,1909339.9559711653,788516.4578307982,2065753.4392414796,8561460.969542328,9850901.817475917,7815868.454390826,9999497.282142334,7768488.582548956
23,5254377.006460746,546.0214672292653,213.90311720794224,62.891753333908824,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,7355898.06137775,12848.800524914946,26150.21159923563,116961.24963035068,811476.7580849073,1939584.170695442,811476.7580849073,2102494.0628035828,9007620.661505682,10351658.71561691,8224473.3432342075,10509727.201023478,8173316.860459771
24,5482828.180654691,552.7286605311219,214.42722106908292,63.8590831065226,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,7570631.70162273,13076.574765664307,26864.512409729603,118552.15160221212,834796.5275086727,1969939.7342546356,834796.5275086727,2139520.4600413996,9453620.321043411,10850272.959573291,8633730.101008765,11017865.767148409,8578701.896955887
25,5711279.354848636,559.4358538329785,214.95132493022362,64.82641287913638,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,7788806.943618011,13305.107999829335,27588.54382587165,120148.6646830145,858477.8608291469,2000410.9900215347,858477.8608291469,2176839.07685725,9899175.15265723,11346469.506077565,9043385.360684887,11523627.651124224,8984394.99653432
26,5939730.529042582,566.1430471348352,215.4754287913643,65.79374265175016,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,8010483.079173161,13534.477492174754,28322.395636110523,121751.442558498,882524.7714404889,2031008.9061692315,882524.7714404889,2214463.1740322136,10344009.073662153,11839981.577357845,9453192.35415178,12026734.94501215,9390154.412354494
27,6168181.703236527,572.8502404366918,215.999532652505,66.76107242436393,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,8235630.308404619,13764.561771420596,29065.971167173364,123359.76654262208,906935.4600204264,2061718.2563090583,906935.4600204264,2252379.652065905,10787921.067364456,12330638.376267374,9862964.421820723,12527010.32490476,9795797.01515362
28,6396632.8774304725,579.5574337385484,216.52363651364567,67.72840219697771,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,8464266.12520778,13995.3982294121,29819.297357190197,124973.65729359383,931711.8390367781,2092541.7247990498,931711.8390367781,2290593.333838697,11230709.63770247,12818271.604617061,10272512.096791085,13024277.968344118,10201137.466675205
29,6625084.051624418,585.0569984844179,217.07822829611126,68.69573196959149,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,8680177.601632938,14227.518241847385,30523.124981687903,126356.86894602508,955065.9186697386,2121498.9053858006,955065.9186697386,2326565.8199495715,11681632.512433698,13317245.800027031,10688503.157220494,13533239.63293053,10612797.493279045
