"filename", "language", "pip requirements", "Jupyter", "comment", "blank", "total"
"/home/ilobach/fur/shifts/shift_03_16_2020/regenerating_fluctuations_data/.ipynb_checkpoints/regenerate_fluctuations_data_FLAT_03_16_2020-checkpoint.ipynb", "Jupyter", 0, 103575, 0, 1, 103576
"/home/ilobach/fur/shifts/shift_03_16_2020/regenerating_fluctuations_data/.ipynb_checkpoints/regenerate_fluctuations_data_ROUND_03_16_2020-checkpoint.ipynb", "Jupyter", 0, 156435, 0, 1, 156436
"/home/ilobach/fur/shifts/shift_03_16_2020/regenerating_fluctuations_data/regenerate_fluctuations_data_FLAT_03_16_2020.ipynb", "Jupyter", 0, 103575, 0, 1, 103576
"/home/ilobach/fur/shifts/shift_03_16_2020/regenerating_fluctuations_data/regenerate_fluctuations_data_ROUND_03_16_2020.ipynb", "Jupyter", 0, 156435, 0, 1, 156436
"/home/ilobach/fur/shifts/shift_03_16_2020/regenerating_fluctuations_data/regenerate_fluctuations_data_ROUND_LONG_03_16_2020.ipynb", "Jupyter", 0, 1117, 0, 0, 1117
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/.ipynb_checkpoints/IBS_03_16_2020_round-checkpoint.ipynb", "Jupyter", 0, 227, 0, 1, 228
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/.ipynb_checkpoints/ROUND-checkpoint.ipynb", "Jupyter", 0, 1427, 0, 1, 1428
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/.ipynb_checkpoints/ROUND_LONG-checkpoint.ipynb", "Jupyter", 0, 1844, 0, 1, 1845
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/.ipynb_checkpoints/ROUND_precalculate_bunch_parameters_VS_current-checkpoint.ipynb", "Jupyter", 0, 8336, 0, 1, 8337
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/.ipynb_checkpoints/ROUND_with_M_calculation_with_beam_divergence-checkpoint.ipynb", "Jupyter", 0, 780, 0, 1, 781
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/.ipynb_checkpoints/ROUND_with_M_calculation_with_beam_divergence_comparision_with_no_divergence-checkpoint.ipynb", "Jupyter", 0, 650, 0, 1, 651
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/.ipynb_checkpoints/ROUND_with_M_calculation_with_beam_divergence_comparision_with_no_divergence_no_Ku_error-checkpoint.ipynb", "Jupyter", 0, 973, 0, 1, 974
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/.ipynb_checkpoints/ROUND_with_M_calculation_with_beam_divergence_no_Ku_error-checkpoint.ipynb", "Jupyter", 0, 585, 0, 1, 586
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/.ipynb_checkpoints/ROUND_with_M_calculation_with_beam_divergence_with_emittance_error-checkpoint.ipynb", "Jupyter", 0, 770, 0, 1, 771
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/.ipynb_checkpoints/Untitled-checkpoint.ipynb", "Jupyter", 0, 6, 0, 1, 7
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/.ipynb_checkpoints/coupled_lattice-checkpoint.ipynb", "Jupyter", 0, 50686, 0, 1, 50687
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/.ipynb_checkpoints/plot_Round_Round_Long-checkpoint.ipynb", "Jupyter", 0, 1021, 0, 1, 1022
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/.ipynb_checkpoints/plot_round-checkpoint.ipynb", "Jupyter", 0, 1898, 0, 1, 1899
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/.ipynb_checkpoints/toucshek_lifetime-checkpoint.ipynb", "Jupyter", 0, 1712, 0, 1, 1713
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/.ipynb_checkpoints/toucshek_lifetime_Valishev_devs-checkpoint.ipynb", "Jupyter", 0, 2006, 0, 1, 2007
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/.ipynb_checkpoints/touschek_model_constant_beta-checkpoint.ipynb", "Jupyter", 0, 155, 0, 1, 156
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/.ipynb_checkpoints/transmission_data_extrapolation-checkpoint.ipynb", "Jupyter", 0, 133, 0, 1, 134
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/IBS_03_16_2020_round.ipynb", "Jupyter", 0, 227, 0, 1, 228
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/ROUND.ipynb", "Jupyter", 0, 1426, 0, 1, 1427
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/ROUND_LONG.ipynb", "Jupyter", 0, 1844, 0, 1, 1845
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/ROUND_precalculate_bunch_parameters_VS_current.ipynb", "Jupyter", 0, 11275, 0, 1, 11276
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/ROUND_with_M_calculation_with_beam_divergence.ipynb", "Jupyter", 0, 780, 0, 1, 781
